run_dir,run_id,checkpoint_id,epoch,save_reason,val_accuracy,test_accuracy,ood_accuracy,routing_candidate,routing_score,routing_family_min_score,copy_candidate,copy_score,copy_family_min_score,previous_token_site,previous_token_score,previous_token_family_min_score,previous_token_faithfulness_site,previous_token_faithfulness_score,previous_token_faithfulness_family_min_score,target_seen_in_context_site,target_seen_in_context_score,target_seen_in_context_family_min_score,target_seen_in_context_faithfulness_site,target_seen_in_context_faithfulness_score,target_seen_in_context_faithfulness_family_min_score,repeat_distance_bucket_site,repeat_distance_bucket_score,repeat_distance_bucket_family_min_score,repeat_distance_bucket_faithfulness_site,repeat_distance_bucket_faithfulness_score,repeat_distance_bucket_faithfulness_family_min_score,target_token_site,target_token_score,target_token_family_min_score,target_token_faithfulness_site,target_token_faithfulness_score,target_token_faithfulness_family_min_score
runs/story_text_circuit_run_001,story_text_circuit_run_001,scheduled_epoch_023,23,scheduled,0.03418803418803419,0.042735042735042736,0.042735042735042736,block1_head1,0.1481481481481481,0.0,block2_head0,0.1481481481481481,0.0,block1_head0_final_v,0.364963503649635,0.0,block1_head0_final_v,0.0,0.0,block2_head0_final_v,0.6715328467153284,0.0,block2_head0_final_v,0.03125,0.0,block2_final_mlp_out,0.5255474452554745,0.0,block2_final_mlp_out,0.0,0.0,block1_head0_final_q,0.0948905109489051,0.0,block1_head0_final_q,0.0,0.0
runs/story_text_circuit_run_001,story_text_circuit_run_001,scheduled_epoch_025,25,scheduled,0.05128205128205128,0.008547008547008548,0.017094017094017096,block1_head1,0.1481481481481481,0.0,block2_head0,0.074074074074074,0.0,block1_final_resid_after_mlp,0.364963503649635,0.0,block1_final_resid_after_mlp,0.0,0.0,block1_final_mlp_out,0.6642335766423357,0.0,block1_final_mlp_out,0.015625,0.0,block2_head0_final_head_out,0.5182481751824818,0.0,block2_head0_final_head_out,0.0,0.0,block1_head0_final_q,0.1021897810218978,0.0,block1_head0_final_q,0.015625,0.0
runs/story_text_circuit_run_001,story_text_circuit_run_001,scheduled_epoch_027,27,scheduled,0.06837606837606838,0.008547008547008548,0.017094017094017096,block1_head1,0.1481481481481481,0.0,block2_head0,0.074074074074074,0.0,block1_head0_final_v,0.364963503649635,0.0,block1_head0_final_v,0.0,0.0,block2_final_mlp_out,0.656934306569343,0.0,block2_final_mlp_out,0.0,0.0,block2_head0_final_head_out,0.5401459854014599,0.0,block2_head0_final_head_out,0.0,0.0,block1_head0_final_q,0.0948905109489051,0.0,block1_head0_final_q,0.0,0.0
runs/story_text_circuit_run_001,story_text_circuit_run_001,scheduled_epoch_030,30,scheduled,0.06837606837606838,0.008547008547008548,0.008547008547008548,block1_head1,0.1111111111111111,0.0,block2_head0,0.074074074074074,0.0,block1_head0_final_v,0.364963503649635,0.0,block1_head0_final_v,0.0,0.0,block2_final_resid_after_mlp,0.6423357664233577,0.0,block2_final_resid_after_mlp,0.0,0.0,block2_head0_final_q,0.5036496350364964,0.0,block2_head0_final_q,0.03125,0.0,block1_head0_final_v,0.1021897810218978,0.0,block1_head0_final_v,0.0,0.0
runs/story_text_circuit_run_001,story_text_circuit_run_001,scheduled_epoch_032,32,scheduled,0.042735042735042736,0.017094017094017096,0.008547008547008548,block1_head0,0.1851851851851851,0.0,block2_head0,0.0,0.0,block1_head0_final_v,0.364963503649635,0.0,block1_head0_final_v,0.0,0.0,block2_head1_final_head_out,0.635036496350365,0.0,block2_head1_final_head_out,0.0,0.0,block2_head1_final_v,0.437956204379562,0.0,block2_head1_final_v,0.03125,0.0,block2_head0_final_head_out,0.1240875912408759,0.0,block2_head0_final_head_out,0.0,0.0
runs/story_text_circuit_run_001,story_text_circuit_run_001,scheduled_epoch_035,35,scheduled,0.042735042735042736,0.03418803418803419,0.02564102564102564,block1_head0,0.2592592592592592,0.0,block1_head1,0.0,0.0,block1_head0_final_v,0.364963503649635,0.0,block1_head0_final_v,0.0,0.0,block2_final_resid_after_mlp,0.6934306569343066,0.0,block2_final_resid_after_mlp,0.046875,0.0,block2_final_resid_after_mlp,0.5328467153284672,0.0,block2_final_resid_after_mlp,0.046875,0.0,block1_head1_final_v,0.0948905109489051,0.0,block1_head1_final_v,0.0,0.0
runs/story_text_circuit_run_001,story_text_circuit_run_001,scheduled_epoch_038,38,scheduled,0.042735042735042736,0.02564102564102564,0.017094017094017096,block1_head0,0.1851851851851851,0.0,block2_head0,0.0,0.0,block1_head0_final_v,0.364963503649635,0.0,block1_head0_final_v,0.0,0.0,block2_head0_final_v,0.6423357664233577,0.0,block2_head0_final_v,0.03125,0.0,block2_head0_final_v,0.5255474452554745,0.0,block2_head0_final_v,0.03125,0.0,block1_head1_final_v,0.0948905109489051,0.0,block1_head1_final_v,0.0,0.0
runs/story_text_circuit_run_001,story_text_circuit_run_001,scheduled_epoch_042,42,scheduled,0.042735042735042736,0.02564102564102564,0.017094017094017096,block1_head0,0.1851851851851851,0.0,block2_head0,0.0,0.0,block1_head0_final_v,0.364963503649635,0.0,block1_head0_final_v,0.0,0.0,block2_head0_final_v,0.6423357664233577,0.0,block2_head0_final_v,0.03125,0.0,block2_head0_final_v,0.5182481751824818,0.0,block2_head0_final_v,0.03125,0.0,block1_head1_final_v,0.0948905109489051,0.0,block1_head1_final_v,0.0,0.0
runs/story_text_circuit_run_001,story_text_circuit_run_001,scheduled_epoch_045,45,scheduled,0.042735042735042736,0.02564102564102564,0.017094017094017096,block1_head0,0.1851851851851851,0.0,block2_head0,0.0,0.0,block1_head0_final_v,0.364963503649635,0.0,block1_head0_final_v,0.0,0.0,block2_head0_final_v,0.635036496350365,0.0,block2_head0_final_v,0.03125,0.0,block2_head0_final_v,0.5182481751824818,0.0,block2_head0_final_v,0.03125,0.0,block1_head1_final_v,0.0948905109489051,0.0,block1_head1_final_v,0.0,0.0
runs/story_text_circuit_run_001,story_text_circuit_run_001,scheduled_epoch_049,49,scheduled,0.042735042735042736,0.02564102564102564,0.02564102564102564,block1_head0,0.1851851851851851,0.0,block2_head0,0.0,0.0,block1_head0_final_v,0.364963503649635,0.0,block1_head0_final_v,0.0,0.0,block2_head0_final_v,0.635036496350365,0.0,block2_head0_final_v,0.03125,0.0,block2_head0_final_v,0.5182481751824818,0.0,block2_head0_final_v,0.03125,0.0,block1_head1_final_v,0.0948905109489051,0.0,block1_head1_final_v,0.0,0.0
