run_dir,run_id,seed,intervention_signature,intervention_count,checkpoint_id,epoch,save_reason,val_accuracy,test_accuracy,ood_accuracy,query_key_site,query_key_score,query_key_family_min_score,query_key_faithfulness_site,query_key_faithfulness_score,query_key_faithfulness_family_min_score,matching_slot_site,matching_slot_score,matching_slot_family_min_score,matching_slot_faithfulness_site,matching_slot_faithfulness_score,matching_slot_faithfulness_family_min_score,selected_value_site,selected_value_score,selected_value_family_min_score,selected_value_faithfulness_site,selected_value_faithfulness_score,selected_value_faithfulness_family_min_score,routing_candidate,routing_score,routing_family_min_score,copy_candidate,copy_score,copy_family_min_score
runs/kv_textual_balanced_v1/pilot_seed0_curriculum_on_d64_l2,pilot_seed0_curriculum_on_d64_l2,0,none,0,best_val_epoch_006,6,best_val,0.336,0.3263333333333333,0.24733333333333332,block1_head0_final_head_out,0.6484375,0.0,block1_head0_final_head_out,0.3333333333333333,0.3333333333333333,block1_final_mlp_out,0.336328125,0.0,block1_final_mlp_out,0.3333333333333333,0.3333333333333333,block1_head0_final_resid_contribution,0.36640625,0.0,block1_head0_final_resid_contribution,0.3515625,0.0,block1_head0,0.344921875,0.0,block2_head1,0.74609375,0.0
runs/kv_textual_balanced_v1/pilot_seed0_curriculum_on_d64_l2,pilot_seed0_curriculum_on_d64_l2,0,none,0,scheduled_epoch_006,6,scheduled,0.336,0.3263333333333333,0.24733333333333332,block1_head0_final_head_out,0.6484375,0.0,block1_head0_final_head_out,0.3333333333333333,0.3333333333333333,block1_final_mlp_out,0.336328125,0.0,block1_final_mlp_out,0.3333333333333333,0.3333333333333333,block1_head0_final_resid_contribution,0.36640625,0.0,block1_head0_final_resid_contribution,0.3515625,0.0,block1_head0,0.344921875,0.0,block2_head1,0.74609375,0.0
runs/kv_textual_balanced_v1/pilot_seed0_curriculum_on_d64_l2,pilot_seed0_curriculum_on_d64_l2,0,none,0,scheduled_epoch_007,7,scheduled,0.329,0.328,0.24933333333333332,block1_head0_final_head_out,0.6640625,0.0,block1_head0_final_head_out,0.33203125,0.1666666666666666,block2_head1_final_resid_contribution,0.33359375,0.0,block2_head1_final_resid_contribution,0.33203125,0.1666666666666666,block1_head0_final_head_out,0.369140625,0.0,block1_head0_final_head_out,0.34765625,0.0,block1_head0,0.347265625,0.0,block2_head1,0.730859375,0.0
runs/kv_textual_balanced_v1/pilot_seed0_curriculum_on_d64_l2,pilot_seed0_curriculum_on_d64_l2,0,none,0,scheduled_epoch_008,8,scheduled,0.333,0.32766666666666666,0.24966666666666668,block1_head0_final_head_out,0.572265625,0.0,block1_head0_final_head_out,0.3333333333333333,0.3333333333333333,block1_final_resid_after_mlp,0.348828125,0.0,block1_final_resid_after_mlp,0.3346354166666667,0.3333333333333333,block1_head0_final_head_out,0.362109375,0.0,block1_head0_final_head_out,0.36328125,0.0,block1_head0,0.346875,0.0,block2_head1,0.741015625,0.0
runs/kv_textual_balanced_v1/pilot_seed0_curriculum_on_d64_l2,pilot_seed0_curriculum_on_d64_l2,0,none,0,scheduled_epoch_009,9,scheduled,0.33066666666666666,0.3253333333333333,0.24766666666666667,block1_head0_final_head_out,0.592578125,0.0,block1_head0_final_head_out,0.3333333333333333,0.3333333333333333,block1_final_resid_after_mlp,0.346875,0.0,block1_final_resid_after_mlp,0.3333333333333333,0.3333333333333333,block1_head0_final_resid_contribution,0.36328125,0.0,block1_head0_final_resid_contribution,0.35546875,0.0,block1_head0,0.354296875,0.0,block2_head1,0.73828125,0.0
runs/kv_textual_balanced_v1/pilot_seed0_curriculum_on_d64_l2,pilot_seed0_curriculum_on_d64_l2,0,none,0,best_val_epoch_010,10,best_val,0.33866666666666667,0.31766666666666665,0.242,block1_head0_final_head_out,0.585546875,0.0,block1_head0_final_head_out,0.3333333333333333,0.3333333333333333,block1_final_resid_after_mlp,0.341015625,0.0,block1_final_resid_after_mlp,0.3333333333333333,0.3333333333333333,block1_head0_final_resid_contribution,0.3734375,0.0,block1_head0_final_resid_contribution,0.36328125,0.0,block1_head0,0.351953125,0.0,block2_head1,0.767578125,0.0
runs/kv_textual_balanced_v1/pilot_seed0_curriculum_on_d64_l2,pilot_seed0_curriculum_on_d64_l2,0,none,0,scheduled_epoch_010,10,scheduled,0.33866666666666667,0.31766666666666665,0.242,block1_head0_final_head_out,0.585546875,0.0,block1_head0_final_head_out,0.3333333333333333,0.3333333333333333,block1_final_resid_after_mlp,0.341015625,0.0,block1_final_resid_after_mlp,0.3333333333333333,0.3333333333333333,block1_head0_final_resid_contribution,0.3734375,0.0,block1_head0_final_resid_contribution,0.36328125,0.0,block1_head0,0.351953125,0.0,block2_head1,0.767578125,0.0
runs/kv_textual_balanced_v1/pilot_seed0_curriculum_on_d64_l2,pilot_seed0_curriculum_on_d64_l2,0,none,0,scheduled_epoch_011,11,scheduled,0.33,0.32866666666666666,0.245,block1_final_resid_after_mlp,0.550390625,0.0,block1_final_resid_after_mlp,0.3307291666666667,0.0,block1_final_resid_after_mlp,0.33515625,0.0,block1_final_resid_after_mlp,0.3307291666666667,0.0,block1_head0_final_resid_contribution,0.365625,0.0,block1_head0_final_resid_contribution,0.3359375,0.0,block1_head0,0.35859375,0.0,block2_head1,0.783984375,0.0
runs/kv_textual_balanced_v1/pilot_seed0_curriculum_on_d64_l2,pilot_seed0_curriculum_on_d64_l2,0,none,0,scheduled_epoch_012,12,scheduled,0.33866666666666667,0.328,0.25066666666666665,block1_final_resid_after_mlp,0.5453125,0.0,block1_final_resid_after_mlp,0.3307291666666667,0.0,block2_head1_final_head_out,0.336328125,0.0,block2_head1_final_head_out,0.3333333333333333,0.1666666666666666,block1_head0_final_resid_contribution,0.369921875,0.0,block1_head0_final_resid_contribution,0.359375,0.0,block1_head0,0.35546875,0.0,block2_head1,0.728125,0.0
runs/kv_textual_balanced_v1/pilot_seed0_curriculum_on_d64_l2,pilot_seed0_curriculum_on_d64_l2,0,none,0,scheduled_epoch_013,13,scheduled,0.3293333333333333,0.3253333333333333,0.24666666666666667,block1_head0_final_head_out,0.543359375,0.0,block1_head0_final_head_out,0.3346354166666667,0.1666666666666666,block2_head1_final_head_out,0.341015625,0.0,block2_head1_final_head_out,0.3346354166666667,0.1666666666666666,block1_head0_final_head_out,0.3640625,0.0,block1_head0_final_head_out,0.359375,0.0,block1_head0,0.35234375,0.0,block2_head1,0.766015625,0.0
